ID,NOME_OBRA,AUTOR,TIPOLOGIA,MATERIAL,DT_IMPLANT,CONPRESP,CONDEPHAAT,TOMBAMENTO,LOCAL,IPHAN,LINK_RES,problematica
001,14 Bis,FUNCIONÁRIOS do Parque Aeronáutico de Marte,Escultura Figurativa,latăo alumínio bronze e granito,1974 (escultura original) / 2006 (escultura nova),não consta,não consta,não,Praça Campo de Bagatelle,não consta,não consta,N
002,70 Anos da Imigraçăo Japonesa,desconhecido,Marco,granito,1978,não consta,não consta,não,Parque do Carmo,não consta,não consta,N
003,A Caçadora,"COLUCCINI, Lélio",Grupo escultórico,Granito e bronze,197-,não consta,não consta,não,Parque Ibirapuera,não consta,não consta,N
004,A menina e o bezerro,CHRISTOPHE,Grupo escultórico,mármore Carrara e granito,ca. 1922,não consta,não consta,não,Largo do Arouche,não consta,não consta,N
006,A todos os companheiros,desconhecido,Placa,mármore,1977,não consta,RES. SC 185/02,sim,Largo Săo Francisco (próximo a entrada da Faculdade de Direito),não consta,não consta,N
007,A Torre,"PIZA, Arthur Luiz",Escultura Abstrata,aço corten e bronze,1997,não consta,não consta,não,Praça dos Libaneses (Avenida Jornalista Roberto Marinho),não consta,não consta,N
008,A Viagem – Ida e Volta,"DEL NERO, Cyro",Painel,azulejos,1995,não consta,não consta,não,Complexo Viário Maria Maluf (extremidades do túnel sentido Avenida Presidente Tancredo Neves - Avenida dos Bandeirantes),não consta,não consta,N
009,Abertura,"CASTRO, Amílcar de",Escultura Abstrata,aço corten,1979,RES. 17/2007,não consta,sim,Praça da Sé,não consta,https://www.prefeitura.sp.gov.br/cidade/upload/2ffeb_17_T_Centro_Velho.pdf,N
010,Acabou a Greve,"CIPICCHIA, Ricardo",Estátua,bronze e granito,1958,não consta,não consta,não,Praça Doutor Sampaio Vidal,não consta,não consta,N
011,Adolfo Augusto Pinto,"ZANI, Amadeo",Herma,bronze e concreto,1970,não consta,não consta,não,Praça Ester Mesquita,não consta,não consta,N
012,Adolpho Bloch,desconhecido,Grupo escultórico,bronze e granito,1996,não consta,não consta,não,Praça Adolpho Bloch,não consta,não consta,N
014,Adoniran Barbosa,"MORRONE, Luiz",Herma,bronze e granito,1983,não consta,não consta,não,Praça Dom Orione,não consta,não consta,N
015,Afonso D’Escragnolle Taunay,"DUNIN, Claudie",Herma,bronze e granito,1965,não consta,não consta,não,Largo do Arouche,não consta,não consta,N
016,Alegres Saudaçőes Para Lucinha,"NITSCHE, Marcelo",Escultura Abstrata,aço pintado,2004,não consta,não consta,não,Praça Lucinha Mendonça,não consta,não consta,N
017,Alexandre de Gusmăo,desconhecido,Busto,bronze e concreto,1995,não consta,não consta,não,Praça Alexandre de Gusmăo,não consta,não consta,N
018,Alexandre Fleming,desconhecido,Cabeça,bronze e concreto,1969,não consta,não consta,não,Praça Alexandre Fleming,não consta,não consta,N
019,Alfredo Maia,"ZANI, Amadeo",Grupo escultórico,bronze e granito,196-,não consta,não consta,não,Praça Júlio Prestes,não consta,não consta,N
020,Almeida Júnior,"GALANTE, Laurindo",Herma,bronze e granito,194-,não consta,não consta,não,Galeria Prestes Maia,não consta,não consta,N
021,Almirante Joaquim Marques de Lisboa - Marquês de Tamandaré,desconhecido,Herma,bronze e granito,ca. 1967,não consta,não consta,não,Parque Anhangabaú (próximo a Rua Doutor Falcăo),não consta,não consta,N
022,Almirante Joaquim Marques de Lisboa - Marquês de Tamandaré,"MORRONE, Luiz JUAN Casio Godińo",Estátua,bronze e granito,1981,não consta,não consta,não,Parque Ibirapuera,não consta,não consta,N
023,Álvares de Azevedo,"ZANI, Amadeo",Busto,bronze e granito,2006,não consta,não consta,não,Largo Săo Francisco,não consta,não consta,N
024,Amaltéia e a Cabra de Júpiter,desconhecido,Grupo escultórico,argamassa armada e bronze,192-,não consta,não consta,não,Parque da Luz,não consta,não consta,N
025,Amizade Entre Os Povos,desconhecido,Marco,bronze e granito,1936,não consta,não consta,não,Praça da República (interior da EMEI Armando de Arruda Pereira),não consta,não consta,N
026,Amizade Sírio-Libanesa,"XIMENES, Ettore",Grupo escultórico,bronze e granito,1988,RES. 17/2007,não consta,sim,Praça Ragueb Chohfi,não consta,https://www.prefeitura.sp.gov.br/cidade/upload/2ffeb_17_T_Centro_Velho.pdf,N
027,Amor Materno,"VIRION, Charles-Louis-Éugčne",Estátua,mármore e granito,19--,não consta,não consta,não,Largo do Arouche,não consta,não consta,N
028,Andando - Monumento a Săo Paulo,"EMENDABILI, Galileo",Estátua,bronze e alvenaria revestida de granito,2007,não consta,não consta,não,Praça Vinicius de Moraes,não consta,não consta,N
030,Anfitrite e Trităo,desconhecido,Chafariz,argamassa armada e bronze,ca. 1916,não consta,não consta,não,Parque Buenos Aires,não consta,não consta,N
031,Ângelo Rivetti,desconhecido,Placa,argamassa e ferro pintado,ca. 1975,não consta,não consta,não,Praça Ângelo Rivetti,não consta,não consta,N
032,Anhangüera,"BRIZZOLLARA, Luis",Estátua,mármore e bronze,1935,não consta,não consta,não,Avenida Paulista (calçada do Parque Tenente Siqueira Campos),não consta,não consta,S
033,Anjo,"BONOMI, Maria",Escultura Abstrata,bronze e granito,1992,não consta,não consta,não,Praça Cecília Périgo Saldiva,não consta,não consta,N
034,Antonieta Rudge,"MORRONE, Luiz",Cabeça,bronze e granito,1977,não consta,não consta,não,Praça Portugal,não consta,não consta,N
035,Aos Pracinhas a Homenagem e a Gratidăo do Parque Novo Mundo,desconhecido,Obelisco,granito,19--,não consta,não consta,não,Praça Novo Mundo,não consta,não consta,N
036,Aretuza,"LEOPOLDO E SILVA, Francisco",Estátua,mármore granito e bronze,197-,não consta,não consta,não,Parque Tenente Siqueira Campos (Trianon),não consta,não consta,N
037,Árvore Das Lágrimas,desconhecido,Placa,bronze,1952,não consta,não consta,não,"Estrada das Lágrimas, números 515 e 535",não consta,não consta,N
038,Ascensăo,"BRANDT, Charis",Estátua,bronze e granito,ca. 1942,não consta,não consta,não,Praça das Guianas,não consta,não consta,N
039,Associaçăo Dos Lojistas da Liberdade,desconhecido,Placa,granito e concreto,1978,não consta,não consta,não,Largo da Pólvora,não consta,não consta,N
040,Atletas do Brasil,desconhecido,Placa,cimento,19--,não consta,não consta,não,Praça Charles Miller,não consta,não consta,N
041,Augusto de Prima Porta,desconhecido,Estátua,bronze e granito,1948,não consta,não consta,não,Largo do Arouche,não consta,não consta,S
043,Aurora,"MOREAU, Mathurin",Estátua,ferro fundido e concreto,19--,não consta,não consta,não,Praça Coronel Lisboa,não consta,não consta,N
044,Avenida Queiroz Filho,desconhecido,Marco,concreto e ferro,1965,não consta,não consta,não,"Avenida Queiroz Filho (canteiro central, cruzamento com Avenida Padre Pereira de Andrade)",não consta,não consta,N
046,Baden Powell,"LAROCCA, Vicente",Busto,bronze e granito,1959,não consta,não consta,não,Praça da República,não consta,não consta,N
047,Bairro Oriental,desconhecido,Marco,granito,1974,não consta,não consta,não,"Rua Galvăo Bueno, 83",não consta,não consta,N
048,Barbeiro Anedes,"GUERRA, Julio",Painel,alvenaria de tijolos concreto e mosaico de pedras,196-,não consta,não consta,não,Praça Marcos Manzini,não consta,não consta,N
049,Beato Ludovico Pavoni,desconhecido,Busto,bronze e granito,2002,não consta,não consta,não,Praça Beato Padre Ludovico Pavoni,não consta,não consta,N
050,Bebedouro,desconhecido,Fonte,arenito com alvenaria de tijolos,192-,não consta,não consta,não,Parque Tenente Siqueira Campos (Trianon),não consta,não consta,N
051,BEIJO ETERNO (Fragmento do Monumento a Olavo Bilac),ZADIG William,Grupo escultórico,bronze e granito,1966,não consta,RES. SC 185/02,sim,Largo Săo Francisco,não consta,não consta,N
052,Biquinha da Vila Indiana,desconhecido,Fonte,concreto e azulejos,19--,não consta,não consta,não,Avenida Corifeu de Azevedo Marques (cruzamento com rua Boturoca em frente ao nº 35),não consta,não consta,N
053,Borba Gato,"GUERRA, Júlio",Estátua (MONUMENTO),concreto armado mosaico de pedras e pastilhas,1963,não consta,não consta,não,Praça Augusto Tortorello de Araújo,não consta,não consta,S
054,Brigadeiro José Vieira Couto de Magalhăes,"MORRONE, Luiz",Estátua,bronze e granito,1963,não consta,não consta,não,Praça Bento de Camargo Barros,não consta,não consta,N
055,Brigadeiro Rafael Tobias de Aguiar,"MORRONE, Luiz",Estátua (MONUMENTO),bronze e granito,1965,não consta,não consta,não,Praça Coronel Fernando Prestes,não consta,não consta,N
056,Caetano de Campos,"ZANI, Amadeo",Herma,bronze e granito,1930,não consta,não consta,não,Praça da República,não consta,não consta,N
057,Caminho,"AMARAL, Lilian; BASSANI, Jorge",Escultura Abstrata,alumínio pintado,1991,não consta,não consta,não,Praça Marechal Cordeiro de Farias,não consta,não consta,N
058,Camőes,"CUCÊ, José",Estátua,bronze e granito,1942,não consta,não consta,não,Praça Dom José Gaspar,não consta,não consta,N
059,Căo Pastor Alemăo,FUNDIÇĂO REBELATTO,Estátua,bronze e pedra mineira,1963,não consta,não consta,não,Parque Ibirapuera,não consta,não consta,N
060,Carlos Botelho,"CARLI, Arlindo Castellane de",Cabeça,bronze e granito,1986,não consta,não consta,não,Parque da Aclimaçăo,não consta,não consta,S
061,Carlos Drummond de Andrade,desconhecido,Marco,granito,2002,não consta,não consta,não,Praça Poeta Drummond de Andrade,não consta,não consta,N
062,Carlos Paeta,"MORRONE, Luiz",Herma,bronze e granito,2004,não consta,não consta,não,Estádio Municipal Paulo Machado de Carvalho (próximo a entrada pela Rua Capivari),não consta,não consta,N
063,Carolina Ribeiro,"MORRONE, Luiz",Herma,bronze e granilite,1982,não consta,não consta,não,Praça da República,não consta,não consta,N
064,Celso Garcia,"PETRUCCI, Lorenzo",Herma,bronze e granito,Entre 1938 - 1945,não consta,não consta,não,Praça Major Guilherme Rudge,não consta,não consta,N
065,Centenário da Amizade Brasil - Japăo (1895 - 1995),desconhecido,Marco,granito,1995,não consta,não consta,não,Parque do Carmo (próximo ao portăo 3),não consta,não consta,N
066,Centenário da Paróquia Santa Cruz,desconhecido,Marco,alvenaria granito ferro e azulejos,1998,não consta,não consta,não,Praça Júlio César de Campos,não consta,não consta,N
067,Centenário de Vila Ema,desconhecido,Marco,concreto granito e bronze,1994,não consta,não consta,não,Praça Emma Nothmann,não consta,não consta,N
068,Centenário de Vila Prudente,"ABRAHĂO, Délcio (Engenheiro)",Obelisco,concreto armado granito mármore e aço escovado,1990,não consta,não consta,não,Praça Centenário de Vila Prudente,não consta,não consta,N
070,Cervantes,"GALVEZ, Rafael",Estátua,bronze e granito,1947,não consta,não consta,não,Praça Dom José Gaspar,não consta,não consta,N
071,Cesário Mota,"ZANI, Amadeo",Busto,bronze e granito,1909,não consta,não consta,não,Praça da República,não consta,não consta,N
072,Chafariz,desconhecido,Chafariz,argamassa armada,19--,não consta,não consta,não,Largo do Cambuci,não consta,não consta,N
073,Chafariz,desconhecido,Chafariz,argamassa armada,Entre 1899 - 1906,não consta,não consta,não,Parque da Luz (lago da Cruz de Malta),não consta,não consta,N
074,Chafariz,desconhecido,Chafariz,argamassa armada,Entre 1899 - 1910,não consta,não consta,não,Parque da Luz (próximo a Avenida Tiradentes),não consta,não consta,N
075,CHAFARIZ (Delfins),desconhecido,Chafariz,mármore,Entre 1911 - 1914,não consta,não consta,não,Parque da Luz,não consta,não consta,N
076,Chico Mendes,"RIBEIRO, Heloísa Quintanilha",Cabeça,bronze ferro pintado e argamassa,1989,não consta,não consta,não,Parque Ibirapuera,não consta,não consta,N
077,Chopin,desconhecido,Máscara estela,bronze e granito,1954,não consta,não consta,não,Praça Dom José Gaspar,não consta,não consta,N
078,Cinquenta Anos do Estado de Israel,"KNISPEL, Gershon",Escultura Abstrata,ferro,1998,não consta,não consta,não,Praça Cinqüentenário de Israel,não consta,não consta,N
079,Colhedor de Café,"BELTRAN, Lecy",Estátua,bronze alvenaria de tijolos e granito,2003,não consta,não consta,não,Avenida Nove de Julho (canteiro central altura da Rua Bandeira Paulista),não consta,não consta,N
081,Comendador Nicolau Scarpa,"ROSADA, Vilmo",Herma,bronze e granito,1989,não consta,não consta,não,Praça Comendador Nicolau Scarpa,não consta,não consta,N
082,Comissăo do IV Centenário,desconhecido,Placa,granito,1954,não consta,não consta,não,Parque Ibirapuera,não consta,não consta,N
083,Conde Francisco Matarazzo,"MARCHIS, Giandomenico de",Estátua,bronze alvenaria de tijolos e granito,1989,não consta,não consta,não,"Praça Raízes da Pompéia, 2013",não consta,não consta,N
084,Conde Francisco Matarazzo Júnior,desconhecido,Herma,bronze e granito,2009,não consta,não consta,não,Largo Primeiro de Maio,não consta,não consta,N
085,Condor,"GIORGI, Bruno",Escultura Abstrata,bronze,1978,RES. 17/2007,não consta,sim,Praça da Sé,não consta,https://www.prefeitura.sp.gov.br/cidade/upload/2ffeb_17_T_Centro_Velho.pdf,N
086,Conselheiro Joăo José da Silva Carrăo,"SANTOS, Adilson Charles dos",Herma,bronze e argamassa,1992,não consta,não consta,não,Praça Quinze de Outubro,não consta,não consta,N
087,Contando a Féria,"CIPICCHIA, Ricardo",Grupo escultórico,bronze e granito,1950,RES. 17/2007,não consta,sim,Praça Doutor Joăo Mendes,não consta,https://www.prefeitura.sp.gov.br/cidade/upload/2ffeb_17_T_Centro_Velho.pdf,N
088,Cora Coralina,"AGOSTINHO, Aucione Torres",Herma,bronze concreto e granito,1989,não consta,não consta,não,Praça Cora Coralina,não consta,não consta,N
089,Cristo Redentor,desconhecido,Estátua,argamassa armada,19--,não consta,não consta,não,Praça Salvador Allende,não consta,não consta,N
090,Cristóforo Colombo,"MORRONE, Luiz",Estátua,bronze e granito,1992,não consta,não consta,não,Praça Panamericana,não consta,não consta,S
091,Crucifixo,desconhecido,Crucifixo,bronze e granito,1978,não consta,não consta,não,Largo Săo José do Belém,não consta,não consta,N
092,Crucifixo,desconhecido,Crucifixo,bronze e granito,1978,não consta,não consta,não,Praça Cornélia,não consta,não consta,N
093,Crucifixo,desconhecido,Crucifixo,bronze e granito,1978,não consta,não consta,não,Praça Pérola Byington,não consta,não consta,N
094,Crucifixo,desconhecido,Crucifixo,bronze e granito,1978,não consta,não consta,não,Praça Doutor Afrodísio Vidigal,não consta,não consta,N
095,Cruz de Anchieta,"LARROCA, Vicente; RODRIGUES, José Wasth",Cruzeiro,granitobronze e azulejos,1938,não consta,não consta,não,Praça Santa Cruz,não consta,não consta,S
096,Cruz Papal,desconhecido,Cruzeiro,fulget e pastilhas,19--,não consta,não consta,não,Praça Nossa Senhora do Brasil,não consta,não consta,N
097,Cruzeiro,desconhecido,Cruzeiro,alvenaria de tijolos aparentes,1947,não consta,não consta,não,Praça Itálico Ancona Lopes,não consta,não consta,N
098,Dança branca,"IANELLI, Arcângelo",Escultura Abstrata,mármore e granito,2001,não consta,não consta,não,Parque da Aclimaçăo,não consta,não consta,N
099,Dante,"GIORGI, Bruno",Estátua,mármore,1955,não consta,não consta,não,Praça Dom José Gaspar,não consta,não consta,N
100,David,desconhecido,Estátua,argamassa armada e bronze,1974,não consta,não consta,não,Rua Canuto Abreu (em frente ao CERET),não consta,não consta,N
101,Depois do Banho,"BRECHERET, Victor",Estátua,bronze e granito,ca. 1941,não consta,não consta,não,Largo do Arouche,não consta,não consta,N
102,Diálogo,"WEISSMAN, Franz",Escultura Abstrata,chapas de aço pintadas,1979,RES. 17/2007,não consta,sim,Praça da Sé,não consta,https://www.prefeitura.sp.gov.br/cidade/upload/2ffeb_17_T_Centro_Velho.pdf,N
103,Diana a Caçadora,desconhecido,Estátua,bronze e argamassa,ca. 1944,não consta,não consta,não,Praça Pedro Lessa,não consta,não consta,N
104,Discóbolo,desconhecido,Chafariz Estátua,argamassa armada concreto e bronze,Entre 1940 - 1945,não consta,não consta,não,Praça General Polidoro,não consta,não consta,N
105,Dom Bernardino Rivadávia,"NAVARRO, Juan Carlos Oliva",Busto,bronze e granito,1945,não consta,não consta,não,Parque Buenos Aires,não consta,não consta,N
106,Dom Duarte Leopoldo e Silva,"CUCÊ, José",Estátua,bronze e granito,1949,não consta,não consta,não,Largo Santa Cecília,não consta,não consta,N
107,Dom Gastăo Liberal Pinto,"CAMAROTTO, Arthur",Estátua,bronze e granito,1963,não consta,não consta,não,Praça Dom Gastăo Liberal Pinto,não consta,não consta,N
108,Dom José de Camargo Barros,"STARACCE, Júlio",Busto,bronze e granito,1915,não consta,não consta,não,Largo Coraçăo de Jesus,não consta,não consta,N
109,Dom Luiz Orione,"MORRONE, Luiz",Herma,bronze e granito,1972,não consta,não consta,não,Praça Dom Orione,não consta,não consta,N
110,Domingo – Dia do Senhor,"GARCIA, Heitor Eiras",Marco,concreto,1981,não consta,não consta,não,Praça Dia do Senhor,não consta,não consta,N
111,Dorival Rodrigues Alves,NANNI,Cabeça estela,bronze mármore e latăo,2000,não consta,não consta,não,Praça Dorival Rodrigues Alves,não consta,não consta,N
112,Doutor Luís Pereira Barreto,"EMENDABILI, Galileo",Grupo escultórico,bronze e granito,1929,não consta,não consta,não,Praça Marechal Deodoro,não consta,não consta,S
113,Doutor Luiz Lázaro Zamenhoff,"SAMPAIO M. E. GOMES, Fernando Martins",Herma,argamassa armada mármore e granito,1969,não consta,não consta,não,Praça da República,não consta,não consta,N
114,Doutora Carlota Pereira Queiroz,"MORRONE, Luiz",Herma,bronze concreto e mármore,1985,não consta,não consta,não,Praça Califórnia,não consta,não consta,N
115,Drusa,"MILAN, Denise",Chafariz Escultura Abstrata,aço pintado,1992,não consta,não consta,não,Parque Anhangabaú,não consta,não consta,N
116,Edgard Hermelino Leite,"MELLO, Rodolfo Veríssimo de",Herma,bronze e granito,1996,não consta,não consta,não,Praça Edgard Hermelino Leite,não consta,não consta,N
117,Elizabeth Souza Lobo,desconhecido,Marco,granito e bronze,1991,não consta,não consta,não,Praça Elisabeth Souza Lobo Garcia,não consta,não consta,N
118,Emblema de Săo Paulo,"VALENTIN, Ruben",Escultura Abstrata,concreto armado e bronze,1979,RES. 17/2007,não consta,sim,Praça da Sé,não consta,https://www.prefeitura.sp.gov.br/cidade/upload/2ffeb_17_T_Centro_Velho.pdf,N
119,Encouraçado Săo Paulo,desconhecido,Marco,bronze ferro galvanizado e concreto,1954,não consta,não consta,não,Parque Ibirapuera,não consta,não consta,N
120,Espaço Cósmico,"TOYOTA, Yutaka",Escultura Abstrata,aço inox e granito,1979,RES. 17/2007,não consta,sim,Praça da Sé,não consta,https://www.prefeitura.sp.gov.br/cidade/upload/2ffeb_17_T_Centro_Velho.pdf,N
121,Espheropeia,"SALVADOR, Gilberto",Escultura,fibra de carbono e granito,29/03/2014,não consta,não consta,não,Parque da Juventude,não consta,não consta,N
122,Espinário,desconhecido,Estátua,bronze e argamassa,ca. 1941,não consta,não consta,não,Praça Alfredo Weissflog (interior da EMEI Noêmia Hippolito),não consta,não consta,N
123,Estado da Palestina,desconhecido,Marco,mármore e bronze,1992,não consta,não consta,não,Praça Estado da Palestina,não consta,não consta,N
124,Estrela Cadente,"BUENO, Renata",Escultura Figurativa,aço pintado,2007,não consta,não consta,não,Praça Rotary Club de Săo Paulo - Butantă,não consta,não consta,N
125,Etros,"DI ALERIGI, Yone",Escultura Abstrata,concreto armadofibra de vidro e argamassa de pedra calcárea natural,2003,não consta,não consta,não,"Avenida Professor Fonseca Rodrigues (canteiro central, altura da Praça Pero Vaz de Caminha)",não consta,não consta,N
126,Família,"BARRETO, Eduardo",Totem  (ESCULTURA),pedra sabăo e concreto,2001,não consta,não consta,não,Praça da Família,não consta,não consta,N
127,Fauno,"BRECHERET, Victor",Estátua,granito e bronze,1946,não consta,não consta,não,Parque Tenente Siqueira Campos (Trianon),não consta,não consta,N
128,Fernando Pessoa,"VILLAR, Maria Irene",Busto,bronze e granito,1988,não consta,não consta,não,Praça Professor Rossini Tavares de Lima,não consta,não consta,N
129,Firmiano Pinto,"MORRONE, Luiz",Herma,bronze e granito,1947,não consta,não consta,não,Parque Buenos Aires,não consta,não consta,N
130,Fonte Milăo – Săo Paulo,desconhecido,Chafariz ( FONTE ORNAMENAL),argamassa armada granito concreto e ladrilhos cerâmicos,1971,não consta,não consta,não,Praça Cidade de Milăo,não consta,não consta,N
131,Fonte Monumental,"COUTO, Nicolina Vaz de Assis Pinto do",Chafariz,mármore Carrara e bronze,1927,não consta,não consta,não,Praça Júlio Mesquita,não consta,não consta,N
132,Fonte Ornamental,"SEVERO, Vera Maria Aranha (Arquiteta)",Placa,bronze e cimento,1988,não consta,não consta,não,Parque Ibirapuera,não consta,não consta,N
133,Fonte Pacaembu,desconhecido,Fonte,granito,19--,não consta,não consta,não,Estádio Municipal Paulo Machado de Carvalho (junto a entrada do ginásio),não consta,não consta,N
134,Força Expedicionária Brasileira,desconhecido,Marco,ferro concreto e bronze,2000,não consta,não consta,não,Praça Padre Damiăo,não consta,não consta,N
